Open Time,Open,High,Low,Close,Volume
2021-07-16,1919.54000000,1965.00000000,1850.00000000,1876.26000000,577068.89724000
2021-07-15,1994.41000000,2042.88000000,1881.00000000,1919.51000000,645271.32563000
2021-07-14,1940.44000000,2019.18000000,1865.00000000,1994.58000000,690505.60937000
2021-07-13,2031.57000000,2047.35000000,1918.00000000,1940.15000000,647388.24969000
2021-07-12,2140.54000000,2167.83000000,2006.68000000,2031.58000000,540630.10742000
2021-07-11,2110.68000000,2174.00000000,2081.02000000,2140.45000000,342294.40302000
2021-07-10,2146.99000000,2194.82000000,2074.16000000,2110.69000000,499071.85904000
2021-07-09,2116.32000000,2189.40000000,2046.51000000,2146.99000000,738611.36304000
2021-07-08,2316.25000000,2325.60000000,2084.79000000,2116.33000000,880265.04124000
2021-07-07,2322.51000000,2409.00000000,2291.90000000,2316.57000000,666501.35572000
2021-07-06,2196.85000000,2350.00000000,2193.00000000,2322.50000000,785330.17152000
2021-07-05,2322.69000000,2324.64000000,2157.32000000,2196.53000000,781806.31605000
2021-07-04,2226.99000000,2389.93000000,2189.58000000,2322.69000000,590656.25069000
2021-07-03,2153.95000000,2240.00000000,2112.01000000,2226.99000000,569264.80100000
2021-07-02,2106.41000000,2160.00000000,2018.50000000,2154.13000000,672282.37476000
2021-07-01,2275.68000000,2275.93000000,2073.12000000,2106.41000000,787865.25137000
