open_ts_int,open_ts_str,open,high,low,close,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume
1641636000000,2022-01-08 10:00:00,3240.92,3250.0,3209.19,3221.33,17975.2855,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525
1641632400000,2022-01-08 09:00:00,3215.68,3241.5,3215.24,3240.92,9277.8525,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108
1641628800000,2022-01-08 08:00:00,3216.14,3237.85,3208.18,3215.24,10722.9108,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736
1641625200000,2022-01-08 07:00:00,3219.49,3230.01,3207.23,3216.13,10562.9736,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979
1641621600000,2022-01-08 06:00:00,3215.66,3223.87,3191.5,3219.48,10627.8979,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488
1641618000000,2022-01-08 05:00:00,3218.69,3220.95,3204.35,3215.67,4926.3488,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266
1641614400000,2022-01-08 04:00:00,3203.77,3227.46,3201.96,3218.69,8935.266,3203.2,3209.23,3157.0,10734.5778,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641
1641610800000,2022-01-08 03:00:00,3209.88,3213.32,3181.0,3203.5,7791.641,3214.11,3216.38,3173.36,14215.3949,3203.2,3209.23,3157.0,10734.5778,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47
1641607200000,2022-01-08 02:00:00,3217.8,3222.22,3189.95,3209.88,9490.47,3131.69,3222.69,3091.0,53549.5164,3214.11,3216.38,3173.36,14215.3949,3203.2,3209.23,3157.0,10734.5778,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055,3235.78,3246.7,3215.94,8857.9465
1641603600000,2022-01-08 01:00:00,3235.78,3246.7,3215.94,3217.8,8857.9465,3208.2,3209.66,3064.42,62334.0102,3131.69,3222.69,3091.0,53549.5164,3214.11,3216.38,3173.36,14215.3949,3203.2,3209.23,3157.0,10734.5778,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917,3198.68,3239.6,3188.41,14876.5055
1641600000000,2022-01-08 00:00:00,3198.68,3239.6,3188.41,3235.79,14876.5055,3166.72,3226.81,3158.0,28901.722,3208.2,3209.66,3064.42,62334.0102,3131.69,3222.69,3091.0,53549.5164,3214.11,3216.38,3173.36,14215.3949,3203.2,3209.23,3157.0,10734.5778,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736,3181.77,3199.42,3170.26,8779.5917
1641596400000,2022-01-07 23:00:00,3181.77,3199.42,3170.26,3199.24,8779.5917,3241.72,3268.79,3114.56,59819.4132,3166.72,3226.81,3158.0,28901.722,3208.2,3209.66,3064.42,62334.0102,3131.69,3222.69,3091.0,53549.5164,3214.11,3216.38,3173.36,14215.3949,3203.2,3209.23,3157.0,10734.5778,3172.86,3203.36,3143.98,14959.4531,3197.33,3225.24,3183.27,13416.3527,3215.09,3223.64,3205.01,8368.5519,3215.04,3216.59,3165.17,10529.6736
